Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Arctic Rush Float All Flavours (Medium),472,400,7,4,0.3,25,125,80,0,76,5
Arctic Rush Float All Flavours (Large),623,530,9,5,0.4,35,170,106,0,100,7
Lemonade Chiller (Small),354,260,0,0,0,0,30,66,0,65,0
Lemonade Chiller (Medium),489,390,0,0,0,0,40,102,0,99,0
Lemonade Chiller (Large),673,620,0,0,0,0,50,161,0,155,0
Strawberry Chiller (Small),393,310,0,0,0,0,45,78,0,77,0
Strawberry Chiller (Medium),528,440,0,0,0,0,55,114,0,111,0
Strawberry Chiller (Large),751,720,0,0,0,0,85,186,1,179,0
Raspberry Chiller (Small),393,340,0.1,0,0,0,40,86,0,86,0
Raspberry Chiller (Medium),528,480,0.2,0,0,0,50,122,0,115,0
Raspberry Chiller (Large),751,780,0.2,0,0,0,70,202,0,189,0
Pepsi (Kid's),373,150,0,0,0,0,30,42,0,42,0
Pepsi (Small),498,200,0,0,0,0,40,56,0,56,0
Pepsi (Medium),653,260,0,0,0,0,55,74,0,74,0
Pepsi (Large),996,400,0,0,0,0,80,112,0,112,0
Diet Pepsi (Kid's),359,0,0,0,0,0,40,0,0,0,0
Diet Pepsi (Small),479,0,0,0,0,0,50,0,0,0,0
Diet Pepsi (Medium),629,0,0,0,0,0,65,0,0,0,0
Diet Pepsi (Large),958,0,0,0,0,0,100,0,0,0,0
7UP (Kid's),360,150,0,0,0,0,75,39,0,39,0
7UP (Small),480,200,0,0,0,0,100,52,0,52,0
7UP (Medium),630,260,0,0,0,0,130,68,0,68,0
7UP (Large),960,400,0,0,0,0,200,104,0,104,0
Lipton Brisk Iced Tea (Kid's),389,110,0,0,0,0,75,27,0,27,0
Lipton Brisk Iced Tea (Small),518,140,0,0,0,0,100,36,0,36,0
Lipton Brisk Iced Tea (Medium),680,180,0,0,0,0,130,47,0,47,0
Lipton Brisk Iced Tea (Large),1002,220,0,0,0,0,160,58,0,58,0
Minute Maid (Kid's),377,180,0,0,0,0,0,48,0,48,0
Minute Maid (Small),502,240,0,0,0,0,0,64,0,64,0
Minute Maid (Medium),659,310,0,0,0,0,0,84,0,84,0
Minute Maid (Large),1004,470,0,0,0,0,0,128,0,128,0
CocaCola (Kid's),369,150,0,0,0,0,10,40,0,40,0
CocaCola (Small),492,210,0,0,0,0,10,53,0,53,0
CocaCola (Medium),646,270,0,0,0,0,15,70,0,70,0
CocaCola (Large),984,410,0,0,0,0,20,107,0,107,0
Diet CocaCola (Kid's),359,0,0,0,0,0,5,0,0,0,0
Diet CocaCola (Small),479,0,0,0,0,0,10,0,0,0,0
Diet CocaCola (Medium),629,0,0,0,0,0,10,0,0,0,0
Diet CocaCola (Large),958,0,0,0,0,0,15,0,0,0,0
Barq's (Kid's),376,170,0,0,0,0,35,45,0,45,0
Barq's (Small),501,220,0,0,0,0,50,60,0,60,0
Barq's (Medium),658,290,0,0,0,0,65,79,0,79,0
Barq's (Large),1002,440,0,0,0,0,95,120,0,120,0
Sprite (Kid's),397,160,0,0,0,0,35,40,0,36,0
Sprite (Small),529,210,0,0,0,0,50,54,0,47,0
Sprite (Medium),694,280,0,0,0,0,60,70,0,62,0
Sprite (Large),1058,420,0,0,0,0,95,107,0,95,0
Nestea (Kid's),368,100,0,0,0,0,0,27,0,27,0
Nestea (Small),491,130,0,0,0,0,0,36,0,36,0
Nestea (Medium),644,170,0,0,0,0,0,47,0,47,0
Nestea (Large),982,260,0,0,0,0,0,72,0,72,0
Bottled Water,500,0,0,0,0,0,0,0,0,0,0
Coffee (12 oz),355,0,0,0,0,0,5,0,0,0,0
Milk 2% (8 oz),244,120,5,3,0,20,115,12,0,12,8
Orange Juice (8 oz),372,170,0,0,0,0,0,41,0,36,0
Cappuccino MooLatté (Small),371,460,15,11,0.5,40,180,73,0,65,8
Cappuccino MooLatté (Medium),469,580,19,13,0.5,50,230,93,0,82,10
Cappuccino MooLatté (Large),620,720,22,15,1,60,290,120,0,107,13
Caramel MooLatté (Small),385,530,15,11,0.5,40,230,90,0,72,8
Caramel MooLatté (Medium),483,660,18,14,0.5,50,290,113,0,91,10
Caramel MooLatté (Large),642,840,22,16,1,60,380,149,0,119,13
French Vanilla MooLatté (Small),389,510,15,11,0.5,35,170,87,0,75,8
French Vanilla MooLatté (Medium),487,640,18,13,0.5,45,220,109,0,95,10
French Vanilla MooLatté (Large),642,800,21,15,1,55,280,141,0,123,12
Mocha MooLatté (Small),377,510,18,11,0.5,35,200,82,1,72,8
Mocha MooLatté (Medium),489,700,26,16,1,50,280,107,2,93,11
Mocha MooLatté (Large),633,840,30,17,1,55,350,134,2,118,13
Strawberry Banana (Small),469,250,0.5,0.3,0,5,70,61,0.5,42,3
Strawberry Banana (Medium),607,350,1,0.4,0,10,100,83,1,55,4
Strawberry Banana (Large),787,440,1,0.5,0,10,135,104,1,69,6
Mango Pineapple (Small),440,260,0.4,0.2,0,5,70,63,0,51,3
Mango Pineapple (Medium),563,340,0.5,0.3,0,10,100,83,0,65,4
Mango Pineapple (Large),728,430,1,0.4,0,10,135,103,0,80,5
Tripleberry (Small),440,300,0.5,0.2,0,5,65,73,0,60,3
Tripleberry (Medium),563,400,0.5,0.3,0,10,100,96,0,77,4
Tripleberry (Large),728,490,1,0.4,0,10,130,118,0,94,5
Piña Colada (Small),461,240,0.3,0.2,0,5,80,57,1,44,2
Piña Colada (Medium),598,330,0.3,0.3,0,5,105,79,1,63,3
Piña Colada (Large),777,420,0.4,0.3,0,10,130,101,1,82,3
BerryPom (Small),441,290,0.4,0.2,0,5,70,71,0,58,2
BerryPom (Medium),565,390,0.5,0.3,0,10,100,93,0,74,4
BerryPom (Large),730,480,0.5,0.4,0,10,135,114,0,90,5
Orange (Small),466,260,0.3,0.2,0,5,75,63,0,49,3
Orange (Medium),604,370,0.4,0.3,0,10,110,87,0,68,5
Orange (Large),783,470,0.5,0.4,0,10,140,112,0,86,6
Strawberry (Small),440,230,0.5,0.2,0,5,70,54,0,38,3
Strawberry (Medium),563,310,1,0.3,0,10,100,72,0,50,4
Strawberry (Large),728,390,1,0.4,0,10,135,91,0,61,5
Strawberry Banana (Small),452,160,0.3,0,0,0,10,40,0,33,1
Strawberry Banana (Medium),582,200,0.4,0,0,0,15,51,1,42,1
Strawberry Banana (Large),753,240,0.5,0,0,0,20,62,1,50,1
Mango Pineapple (Small),436,170,0.1,0,0,0,15,45,0,43,0.4
Mango Pineapple (Medium),554,210,0.2,0,0,0,15,55,0,53,0.5
Mango Pineapple (Large),722,260,0.2,0,0,0,20,68,0,65,1
Tripleberry (Small),432,160,0.1,0,0,0,10,41,0,39,0.3
Tripleberry (Medium),553,210,0.2,0,0,0,15,55,0,52,0.4
Tripleberry (Large),717,270,0.2,0,0,0,20,69,0,66,0.4
Piña Colada (Small),428,170,0,0,0,0,25,41,1,39,0
Piña Colada (Medium),548,200,0,0,0,0,30,50,1,47,0
Piña Colada (Large),711,280,0,0,0,0,40,69,1,65,0
BerryPom (Small),432,160,0.1,0,0,0,15,40,0,38,0.2
BerryPom (Medium),555,210,0.1,0,0,0,15,53,0,51,0.3
BerryPom (Large),719,260,0.2,0,0,0,25,66,0,63,0.3
Orange (Small),429,140,0,0,0,0,15,35,0,32,0
Orange (Medium),548,170,0,0,0,0,15,41,0,38,0
Orange (Large),711,230,0,0,0,0,25,56,0,52,0
Strawberry (Small),435,170,0.2,0,0,0,15,42,0,37,0.4
Strawberry (Medium),557,200,0.3,0,0,0,20,51,0,45,1
Strawberry (Large),719,260,0.4,0,0,0,25,66,0,59,1
Strawberry Banana (Small),432,330,4.5,4,0.2,0,70,73,1,62,2
Strawberry Banana (Medium),580,460,7,6,0.2,0,95,100,2,83,2
Strawberry Banana (Large),878,680,9,8,0.3,2,140,149,3,126,3
Mango Pineapple (Small),399,250,0.2,0,0,0,35,62,0,61,0
Mango Pineapple (Medium),524,330,0.3,0,0,0,45,83,0,81,0.5
Mango Pineapple (Large),799,490,0.4,0,0,0,70,125,0,122,0.5
Tripleberry (Small),417,360,4.5,4,0.2,0,70,79,1,71,1
Tripleberry (Medium),551,490,7,6,0.2,0,95,108,1,96,2
Tripleberry (Large),834,710,9,8,0.3,2,135,158,2,142,3
