Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Caffeine (mg),Calcium (mg),Iron (mg),Zinc (mg),Vitamin A (μg),Vitamin E (mg),Vitamin D (μg),Vitamin C (mg),Thiamin (mg),Riboflavin (mg)
Pink Star Smoothie (Large),550,2,1,0,5,150,122,3,111,8,0,260,1.44,0.22,0,0.3,0,117,0.024,0.026
Pink Star Smoothie (Medium),400,1.5,1,0,5,105,90,2,82,6,0,195,1.08,0,0,0.3,0,81,0.024,0.026
Pink Star Smoothie (Small),290,1,0.5,0,5,75,64,1,59,4,0,130,0.72,0,0,0,0,54,0,0
Pirate's Booty,100,3.5,0.5,0,0,125,14,1,1,2,0,52,0.72,,,,0,,,
Pomegranate Flavored Apple Juice Blend (8 fl oz),100,3.5,0.5,0,0,125,14,1,1,2,0,52,0.72,,,,0,,,
Pomegranate Paradise Smoothie (Large),380,1,0,0,0,25,93,5,80,3,0,78,1.08,0.22,900,1.5,0,162,0.096,0.078
Pomegranate Paradise Smoothie (Medium),320,0.5,0,0,0,20,79,4,68,2,0,78,0.72,0.22,720,1.2,0,126,0.072,0.078
Pomegranate Paradise Smoothie (Small),210,0,0,0,0,15,53,3,46,2,0,52,0.36,0.22,540,0.9,0,81,0.048,0.052
Protein Berry Workout (Pea) Smoothie (Large),440,1.5,0,0,0,240,88,5,70,20,0,195,5.4,0.22,18,0.3,0,117,0.048,0.078
Protein Berry Workout (Pea) Smoothie (Medium),400,1.5,0,0,0,230,77,4,63,19,0,130,4.5,0.22,18,0.3,0,90,0.048,0.078
Protein Berry Workout (Pea) Smoothie (Small),310,1,0,0,0,200,58,3,47,17,0,130,4.5,0.22,18,0.3,0,63,0.024,0.052
Protein Berry Workout (Soy) Smoothie (Large),440,1,0,0,0,140,87,5,69,20,0,78,2.7,0.22,18,0.3,0,117,0.048,0.078
Protein Berry Workout (Soy) Smoothie (Medium),390,1,0,0,0,130,76,4,61,19,0,78,2.7,0.22,18,0.3,0,90,0.048,0.078
Protein Berry Workout (Soy) Smoothie (Small),300,1,0,0,0,100,57,3,46,16,0,52,1.8,0.22,18,0.3,0,63,0.024,0.052
Protein Berry Workout (Whey) Smoothie (Large),450,2,1,0,35,160,85,5,66,24,0,195,3.6,0.22,36,0.3,0,117,0.048,0.078
Protein Berry Workout (Whey) Smoothie (Medium),390,1.5,0.5,0,35,140,71,4,55,22,0,130,2.7,0.22,18,0.3,0,90,0.048,0.078
Protein Berry Workout (Whey) Smoothie (Small),300,1.5,0.5,0,35,110,51,3,40,20,0,130,1.8,0.22,18,0.3,0,63,0.024,0.052
Pumpkin Bowl With Frozen Yogurt,710,13,5,0,0,190,143,8,95,11,0,195,2.7,0.88,1260,13.5,0,22.5,0.18,0.104
Pumpkin Bowl With Oatmilk Frozen Dessert,770,22,13,0,0,150,141,9,87,9,0,104,2.7,0.88,1260,13.5,0,22.5,0.18,0.104
"Pumpkin Smash (Plant Based) Smoothie (Large, Original)",760,30,23,0,0,250,121,5,84,6,0,585,1.8,0,1890,5.25,8,9,0,0.325
"Pumpkin Smash (Plant Based) Smoothie (Medium, Original)",610,25,19,0,0,190,96,4,66,5,0,455,1.44,0,1440,3.75,6,7.2,0,0.26
"Pumpkin Smash (Plant Based) Smoothie (Small, Original)",370,15,11,0,0,125,59,2,41,3,0,325,0.72,0,990,2.25,4,3.6,0,0.195
"Pumpkin Smash Classic Smoothie (Large, Original)",570,5,3,0,20,360,115,1,106,17,0,780,0.36,0,1350,5.25,0,9,0,0
"Pumpkin Smash Classic Smoothie (Medium, Original)",440,4,2.5,0,15,280,90,1,83,13,0,585,0.36,0,990,3.75,0,7.2,0,0
"Pumpkin Smash Classic Smoothie (Small, Original)",290,2.5,1.5,0,10,180,59,1,54,8,0,390,0,0,630,2.25,0,3.6,0,0
Purely Carrot Juice (Large),310,2,0,0,0,530,73,21,36,7,0,325,2.7,1.1,22950,3.75,0,63,0.42,0.325
Purely Carrot Juice (Medium),250,1.5,0,0,0,410,57,17,28,6,0,260,1.8,1.1,18000,3,0,54,0.36,0.26
Purely Carrot Juice (Small),180,1,0,0,0,300,42,12,21,4,0,195,1.44,0.66,13050,2.25,0,40.5,0.24,0.195
Purely Orange Juice (Large),390,1.5,0,0,0,10,90,2,73,6,0,130,1.8,0.22,315,0.3,0,648,0.6,0.195
Purely Orange Juice (Medium),310,1.5,0,0,0,5,71,1,57,5,0,104,1.44,0.22,225,0.3,0,513,0.48,0.13
Purely Orange Juice (Small),220,1,0,0,0,0,52,1,42,3,0,78,1.08,0.22,180,0,0,369,0.36,0.104
Raspberry Sherbet (Blue Scoop),60,0.5,0,0,0,10,12,0,11,0,0,26,0,,,,,,,
Raspberry Sherbet (Green Scoop),80,1,0.5,0,5,10,16,0,15,0,0,26,0,,,,,,,
Raspberry Sherbet (Red Scoop),40,0,0,0,0,5,9,0,8,0,0,26,0,,,,,,,
Razzmatazz Smoothie (Large),430,2,1,0,5,55,102,4,88,2,0,130,0.72,0.22,18,0.3,0,117,0.024,0.052
Razzmatazz Smoothie (Medium),320,2,1,0,5,40,77,3,66,1,0,104,0.72,0.22,0,0.3,0,81,0.024,0.052
Razzmatazz Smoothie (Small),240,1,0.5,0,5,30,57,2,49,1,0,78,0.36,0.22,0,0.3,0,54,0.024,0.026
Red Gummi Smoothie (Large),510,3.5,2.5,0,10,125,111,1,101,5,0,195,1.44,0,0,0,0,54,0,0
Red Gummi Smoothie (Medium),410,3,2,0,10,105,89,1,81,4,0,130,1.08,0,0,0,0,40.5,0,0
Red Gummi Smoothie (Small),260,2,1,0,5,70,57,1,52,3,0,78,0.72,0,0,0,0,27,0,0
"Sandwich, Bacon, Roasted Tomato (Spinach & Feta)",250,9,3,0,15,600,30,4,2,12,0,195,1.8,,135,,,13.5,,
"Sandwich, Roasted Tomato (Spinach & Feta)",240,8,3,0,15,550,30,4,2,11,0,195,1.8,,135,,,13.5,,
Sirens Chocolate Brownie Protein Bites,200,8,6,0,0,190,21,4,9,12,0,52,1.8,,,,,,,
Sirens Lemon Poppyseed Protein Bites,190,5,5,0,0,190,21,4,9,12,0,52,1.8,,,,,,,
Smartwater,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,
Smooth Talkin Mango Smoothie (Large),440,10,1,0,0,200,89,8,61,5,0,1040,1.44,0.22,2790,2.25,14,180,0.18,0.65
Smooth Talkin Mango Smoothie (Medium),380,8,1,0,0,170,76,7,53,5,0,910,1.44,0.22,2430,1.5,12,153,0.18,0.585
Smooth Talkin Mango Smoothie (Small),250,6,0.5,0,0,110,49,4,34,3,0,585,0.72,0,1530,0.9,8,99,0.096,0.39
Sour Gummi Smoothie (Large),500,3.5,2.5,0,10,50,117,2,106,1,0,130,0.36,0,0,0.3,0,22.5,0.024,0.026
Sour Gummi Smoothie (Medium),370,3,2,0,10,40,86,1,78,0,0,104,0,0,0,0.3,0,18,0.024,0.026
Sour Gummi Smoothie (Small),260,2,1,0,5,25,60,1,54,0,0,78,0,0,0,0.3,0,13.5,0,0
Sourdough Parmesan Pretzel,420,11,3,0,15,690,69,3,3,12,0,130,3.6,,0,,,0,,
Soy Protein Boost,40,0,0,0,0,0,0,0,0,9,0,0,,,0,,,0,,
Soymilk (8 fl oz),150,0,0,0,0,80,29,0,28,5,0,26,1.08,0,0,0,0,0,0,0
Spinach Boost,5,0,0,0,0,20,1,1,0,1,0,26,0.72,0,405,0.3,0,9,0.024,0.026
Spring Veggie Egg Bake,200,14,8,0,185,480,8,1,1,10,0,195,1.08,,,,,,,
Strawberry Flavored Boba Boost,35,0,0,0,0,10,9,0,8,0,0,130,0,0,0,0,0,0,0,0
Strawberries Gone Bananas Smoothie (10 oz),140,0,0,0,0,10,35,3,26,1,0,26,0.36,0.22,0,0.3,0,81,0.024,0.026
Strawberries Gone Bananas Smoothie (12 oz),170,0,0,0,0,10,43,4,31,2,0,26,0.72,0.22,18,0.3,0,90,0.024,0.052
Strawberries Wild Smoothie (Large),430,0.5,0,0,0,85,102,4,85,6,0,260,0.72,0.22,18,0.3,0,117,0.024,0.052
Strawberries Wild Smoothie (Medium),320,0,0,0,0,65,77,3,64,5,0,195,0.72,0.22,0,0.3,0,81,0.024,0.052
Strawberries Wild Smoothie (Small),230,0,0,0,0,45,56,2,47,3,0,130,0.36,0.22,0,0.3,0,54,0.024,0.026
Strawberry Surf Rider Smoothie (Large),430,2.5,1,0,5,25,102,3,93,1,0,104,0.72,0.22,36,0.6,0,126,0.024,0.026
Strawberry Surf Rider Smoothie (Medium),330,2,1,0,5,20,80,3,73,1,0,78,0.36,0.22,36,0.6,0,99,0.024,0.026
Strawberry Surf Rider Smoothie (Small),240,1,0.5,0,5,15,57,2,52,1,0,52,0.36,0,18,0.3,0,72,0.024,0.026
Strawberry Whirl Smoothie (Large),350,1,0,0,0,25,87,7,65,3,0,78,1.08,0.44,18,0.6,0,171,0.048,0.078
Strawberry Whirl Smoothie (Medium),290,0.5,0,0,0,20,72,5,54,3,0,52,1.08,0.22,18,0.3,0,126,0.048,0.078
Strawberry Whirl Smoothie (Small),200,0,0,0,0,15,49,4,37,2,0,52,0.72,0.22,18,0.3,0,90,0.024,0.052
"Strawberry, Fresh (Topping)",5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,18,0,0
Summer Blackberry Smoothie (Large),570,23,20,0,0,35,92,5,68,3,0,195,1.44,0.66,90,0,5,90,0.072,0.026
Summer Blackberry Smoothie (Medium),470,19,17,0,0,30,75,4,56,2,0,130,1.08,0.66,72,0,4,63,0.048,0.026
Summer Blackberry Smoothie (Small),290,11,10,0,0,20,47,2,35,2,0,104,0.72,0.44,54,0,3,45,0.048,0.026
Sweet Belgian Waffle,310,15,8,0,25,290,39,1,19,5,0,26,0.72,0,0,0,0,0,0,0
"Sweet Cloud Whip Foam, Topping (Green Scoop)",60,3.5,3,0,0,10,8,0,4,0,0,52,0,,72,7.5,0.8,0,,0.026
Tapioca Boba Boost,80,0,0,0,0,30,21,0,18,0,0,0,0,0,0,0,0,0,0,0
The Go Getter Smoothie (Large),380,2.5,0,0,0,120,85,12,62,10,280,585,4.5,0.66,6750,2.25,0,909,0.18,0.195
The Go Getter Smoothie (Medium),310,2,0,0,0,95,70,9,51,8,210,455,3.6,0.44,5220,1.5,0,738,0.12,0.13
The Go Getter Smoothie (Small),260,1.5,0,0,0,85,57,8,41,7,175,390,3.6,0.44,4500,1.5,0,621,0.12,0.13
Topped Waffle Bowl With Cocowhip,570,27,16,0,25,300,79,5,37,8,0,52,1.8,0.44,0,19.5,0,45,0.12,0.052
Topped Waffle Bowl With Greek Yogurt,570,20,9,0,30,350,78,5,42,20,0,260,1.8,0.44,0,0.3,0,45,0.12,0.052
Belgian Waffle Bowl With Frozen Oatmilk Dessert,660,30,18,0,25,300,92,6,47,9,0,78,1.8,0.44,0,0.3,0,45,0.12,0.052
Belgian Waffle Bowl With Fat Free Vanilla Frozen Yogurt,580,20,9,0,25,350,91,5,54,11,0,195,1.8,0.44,0,0.3,0,45,0.12,0.052
Belgian Waffle Bowl With Lime Sherbet,580,21,9,0,30,320,89,5,51,8,0,104,1.8,0.44,0,0.3,0,45,0.12,0.052
Belgian Waffle Bowl With Orange Sherbet,570,21,9,0,30,320,89,5,52,8,0,104,1.8,0.44,0,0.3,0,45,0.12,0.052
Belgian Waffle Bowl With Pineapple Sherbet,580,21,9,0,30,320,91,5,53,8,0,104,1.8,0.44,0,0.3,0,45,0.12,0.052
Belgian Waffle Bowl With Raspberry Sherbet,580,21,9,0,30,320,90,5,52,8,0,104,1.8,0.44,0,0.3,0,45,0.12,0.052
Tropical Dragon Twist Smoothie (Small),310,1.5,1,0,5,35,72,3,63,1,0,78,1.08,0,450,0.6,0,45,0.024,0.026
Tropical Dragon Twist Smoothie (Medium),420,2.5,1.5,0,5,50,99,3,86,2,0,130,1.08,0,720,0.9,0,63,0.048,0.052
Tropical Dragon Twist Smoothie (Large),570,3.5,2,0,10,65,133,5,116,2,0,130,1.8,0,900,0.9,0,81,0.048,0.052
Plant Based Tropical Dragon Twist Smoothie (Small),360,9,8,0,0,25,70,3,55,2,0,52,1.44,0,450,0.6,0,45,0.024,0.026
Plant Based Tropical Dragon Twist Smoothie (Medium),540,16,14,0,0,30,102,5,80,3,0,78,1.8,0,720,0.9,0,63,0.048,0.052
Plant Based Tropical Dragon Twist Smoothie (Large),700,19,17,0,0,40,133,7,104,4,0,104,2.7,0,900,0.9,0,81,0.048,0.052
Tropical Dragon Twist Bowl,430,9,4.5,0,0,25,84,12,52,6,0,78,2.7,0.66,900,1.2,0,90,0.18,0.13
Turkey Sausage 'n Cheese Breakfast Wrap,320,15,6,0,40,580,30,1,1,17,0,260,1.44,,54,,,0,,
Turmeric Shot (Rtd),25,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,,54,0,0
Vanilla Blue Sky Bowl,290,8,3,0,0,60,52,7,26,5,0,260,1.8,0.66,72,1.5,3,108,0.18,0.078
Vanilla Blue Sky Smoothie (Large),360,7,4,0,0,150,77,8,48,3,0,780,1.8,1.1,225,4.5,10,162,0.18,0.13
Vanilla Blue Sky Smoothie (Medium),280,5,3,0,0,110,59,6,37,3,0,585,1.44,0.66,180,3.75,8,117,0.12,0.104
Vanilla Blue Sky Smoothie (Small),200,4.5,2.5,0,0,90,43,5,27,2,0,455,1.08,0.66,135,3,7,81,0.096,0.078
Vanilla Coconutmilk (8 fl oz),80,4.5,4,0,0,15,10,,8,0,0,104,0,1.1,,,,0,,
Veggie Vitality Juice (Large),280,1.5,0,0,0,300,65,11,43,6,0,325,4.5,1.1,10170,3,0,81,0.3,0.325
Veggie Vitality Juice (Medium),230,1,0,0,0,240,52,9,35,5,0,260,3.6,0.88,8190,2.25,0,63,0.24,0.26
Veggie Vitality Juice (Small),190,1,0,0,0,220,44,8,29,4,0,195,2.7,0.66,7740,2.25,0,54,0.18,0.26
Watermelon Breeze Smoothie (Large),510,2,1,0,5,75,120,3,104,3,0,130,5.4,0.22,1440,0.3,0,153,0.048,0.026
Watermelon Breeze Smoothie (Medium),410,1.5,1,0,5,60,98,2,85,2,0,130,4.5,0.22,1260,0.3,0,108,0.048,0.026
Watermelon Breeze Smoothie (Small),300,1,0.5,0,5,45,71,2,62,2,0,78,3.6,0.22,990,0,0,81,0.024,0.026
Plant-Based Watermelon Breeze Smoothie (Large),590,13,11,0,0,60,120,5,96,4,0,104,6.3,0.22,1440,0.3,0,153,0.048,0.026
Plant-Based Watermelon Breeze Smoothie (Medium),490,11,9,0,0,50,99,3,80,3,0,78,5.4,0.22,1260,0.3,0,108,0.048,0.026
Plant-Based Watermelon Breeze Smoothie (Small),330,6,5,0,0,35,69,2,57,2,0,52,3.6,0.22,990,0,0,81,0.024,0.026
Watermelon Grape Juice Blend (8 fl oz),160,0,0,0,0,25,39,,35,1,0,26,2.7,0,,,,1.8,0,0
Wheatgrass Juice Shot,15,0,0,0,0,10,2,0,1,1,0,,3.6,,,,,13.5,,
Wheatgrass Shot (Rtd),25,0,0,0,0,0,5,0,4,0,0,0,1.8,,0,,,9,,
Whey Protein Boost,70,1,0.5,0,35,30,2,0,1,13,0,78,0.36,,18,,,0,,
White Gummi Smoothie (Large),600,4.5,3,0,15,125,136,1,122,4,0,195,1.8,0,405,0.6,0,27,0.024,0.026
White Gummi Smoothie (Medium),450,3.5,2,0,10,85,102,1,91,2,0,130,1.08,0,360,0.3,0,22.5,0.024,0.026
White Gummi Smoothie (Small),310,2.5,1.5,0,5,60,70,1,63,2,0,104,0.72,0,225,0.3,0,13.5,0.024,0.026
Food Should Taste Good Multigrain Tortilla Chip,210,9,1,0,0,120,27,5,2,4,,52,1.08,,0,,,0,,
Hippeas Organic Chickpea Puffs,250,7,0,0,0,240,23,4,4,5,,52,1.08,,,,0,,,
Kind Snacks Protein Crunchy Peanut Butter Bar,250,18,4,0,0,135,17,6,7,12,,26,1.08,,,,0,,,
Kind Snacks Protein Double Dark Chocolate Bar,240,17,4,0,0,125,18,5,8,12,,52,1.8,,,,0,,,
Spindrift Lemon Sparkling Water,5,0,0,0,0,0,1,0,0,0,,0,0,,,,,,,
Spindrift Grapefruit Sparkling Water,15,0,0,0,0,0,4,0,3,0,,0,0,,,,,,,
Spindrift Raspberry Lime Sparkling Water,5,0,0,0,0,0,1,0,1,0,,0,0,,,,,,,
Vitacoco Original Coconut Water,45,0,0,0,0,35,11,0,10,0,,52,0,,,,,54,,
Vitacoco Pressed Coconut Water,60,1.5,1,0,0,30,11,0,10,0,,52,0,,,,,99,,
Chocolate Moo'd Powder (Soy Scoop),60,0,0,0,0,15,15,1,14,1,,26,0.36,,0,,0,,,
Southwest Style Turkey Sausage Wrap,370,15,5,0,30,480,38,3,4,22,0,195,2.7,,,,,,,
Ham (Egg and Swiss on Mini Sprouted Grain Bistro Bun Sandwich),200,9,3.5,0,100,580,14,1,2,13,0,195,1.08,,,,,,,
"Feta, Spinach, Tomto (Egg White Bake)",200,13,7,9,35,440,9,1,2,12,0,195,1.08,,,,,,,
Classic Breakfast Sandwich on Multigrain Ciabatta Bun,410,25,9,0,115,660,30,3,1,15,,195,1.8,,,,,,,
Impossible Vegetarian Breakfast Sandwich on Multigrain Ciabatta Bun,330,15,6,0,15,720,33,4,0,15,,260,2.7,,,,,,,
Tango Oasis Smoothie (Large),470,2,1,0,5,70,112,3,97,2,0,130,1.8,0.22,810,1.2,0,99,0.072,0.052
Tango Oasis Smoothie (Medium),360,1.5,1,0,5,50,85,3,74,2,0,104,1.44,0,720,0.9,0,81,0.048,0.052
Tango Oasis Breeze Smoothie (Small),250,1,0.5,0,5,40,61,2,53,1,0,78,1.08,0,450,0.6,0,54,0.024,0.026
Golden Summer Smoothie (Small),190,0,0,0,0,5,46,2,42,2,0,26,0.36,0,450,0.6,0,54,0.048,0.052
Golden Summer Smoothie (Medium),260,0.5,0,0,0,5,64,4,58,2,0,52,0.72,0.22,720,1.2,0,81,0.096,0.078
Golden Summer Smoothie (Large),340,0.5,0,0,0,5,84,4,76,3,0,52,0.72,0.22,900,1.2,0,99,0.096,0.078
