Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Caffeine (mg),Calcium (mg),Iron (mg),Zinc (mg),Vitamin A (μg),Vitamin E (mg),Vitamin D (μg),Vitamin C (mg),Thiamin (mg),Riboflavin (mg)
Cucumber Orange Cooler Juice (Medium),260,1,0,0,0,15,63,3,47,4,0,130,1.8,0.44,180,0.3,0,306,0.36,0.13
Cucumber Orange Cooler Juice (Small),190,1,0,0,0,10,46,2,36,3,0,78,1.08,0.22,135,0,0,207,0.24,0.104
Cucumber Orange Cooler (Large),330,1.5,0,0,0,20,79,3,60,5,0,130,1.8,0.66,225,0.3,0,360,0.42,0.195
Daily Vitamin + Zinc Boost,10,0,0,,,0,2,0,0,0,0,26,3.6,2.75,1710,12,20,135,1.08,1.04
Dragon Fruit Delight Bowl,440,7,2.5,0,0,15,92,12,58,6,0,78,1.8,0.66,225,0.6,0,117,0.18,0.104
Electric Berry Lemonade Smoothie (Large),420,1.5,0.5,0,5,55,99,3,89,4,0,195,0.72,0.22,36,0.6,0,126,0.024,0.026
Electric Berry Lemonade Smoothie (Medium),340,1,0,0,0,40,81,3,74,3,0,130,0.72,0.22,36,0.6,0,90,0.024,0.026
Electric Berry Lemonade Smoothie (Small),230,1,0,0,0,30,54,2,49,2,0,78,0.36,0,18,0.3,0,63,0.024,0.026
Plant-Based Electric Berry Lemonade Smoothie (Large),510,13,11,0,0,20,99,5,81,3,0,52,1.44,0.22,36,0.6,0,126,0.024,0.026
Plant-Based Electric Berry Lemonade Smoothie (Medium),420,11,9,0,0,15,82,4,68,3,0,52,1.08,0.22,36,0.6,0,90,0.024,0.026
Plant-Based Electric Berry Lemonade Smoothie (Small),260,6,5,0,0,10,53,2,44,2,0,26,0.72,0,18,0.3,0,63,0.024,0.026
Fat Free Vanilla Frozen Yogurt (Blue Scoop),60,0,0,0,0,25,13,0,12,1,0,78,0,,,,0,,,
