Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
OREO Crumble Waffle (Build Your Combo),,,,1200,63,27,1,125,1290,143,6,52,18
Strawberry Cheesecake Waffle (Build Your Combo),,,,930,51,24,1,125,1090,102,5,29,16
Chicken & Waffles,,,,1010,50,22,1,210,1950,97,5,16,43
Nashville Hot Chicken & Waffles,,,,1740,126,30,1.5,200,3020,108,9,19,46
OREO Crumble Waffle,,,,980,48,25,1,125,1060,124,4,52,16
Strawberry Cheesecake Waflfe,,,,710,37,21,1,125,850,82,3,29,13
Classic Thick N Fluffy French Toast (Build Your Combo),,,,700,39,14,0.5,170,890,74,5,14,14
Lemon Ricotta Blueberry Thick N Fluffy French Toast (Build Your Combo),,,,760,36,12,0,165,930,91,7,28,17
Strawberry Banana Thick N Fluffy French Toast (Build Your Combo),,,,700,31,9,0,150,830,92,6,27,14
Classic Thick N Fluffy French Toast,,,,900,42,18,0.5,325,1240,108,5,28,23
Lemon Ricotta Blueberry Thick N Fluffy French Toast,,,,950,39,15,0,315,1280,125,7,42,26
Strawberry Banana Thick N Fluffy French Toast,,,,960,34,13,0,300,1190,144,9,53,24
"2 x 2 x 2 (Combo, No Egg or Meat)",,,,320,15,6,0,60,1060,39,2,7,9
"Avocado Toast (Combo, No Egg or Meat)",,,,580,42,6,0,0,960,49,18,6,10
"Breakfast Sampler (Combo, No Egg)",,,,910,59,20,0,135,2610,63,4,10,32
"Chicken & Pancakes (Combo, No Sauce)",,,,900,39,11,0,160,2750,92,5,12,46
"Chicken Fried Chicken & Eggs With Country Gravy (Combo, No Egg)",,,,860,46,14,0,110,2260,80,5,8,32
"Country Fried Steak & Eggs With Country Gravy (Combo, No Egg)",,,,1340,84,28,2,155,3300,104,7,9,42
"Country Fried Steak & Eggs With Sausage Gravy (Combo, No Egg)",,,,1360,84,26,2,140,3380,107,7,9,44
"Huevos Rancheros (Combo, No Egg)",,,,670,35,14,0,55,1230,64,9,3,23
"Loco Moco (Combo, No Egg)",,,,850,31,13,1.5,75,1380,106,3,2,37
Machaca (Combo),,,,1110,82,26,0.5,715,1810,44,6,5,50
Migas (Combo),,,,1030,78,24,0.5,675,1540,44,6,5,39
"Plant-Based Power Sausage Combo (Combo, No Side)",,,,400,20,6,0,0,720,34,6,20,24
"Quick 2-Egg Breakfast (Combo, No Egg or Meat)",,,,220,14,3,0,0,240,20,2,0,2
"Sirloin Tips & Eggs (Combo, No Egg)",,,,1040,60,18,1.5,170,2740,80,6,24,48
"Smokehouse Combo (Combo, No Egg)",,,,1030,74,24,0,170,2690,63,4,10,27
"Split Decision Breakfast (Combo, No Egg)",,,,1120,69,28,1,280,2360,95,5,22,31
"T-Bone Steak & Eggs (10 oz, Combo, No Egg)",,,,740,28,12,1,200,2140,59,3,11,62
Bacon Temptation Omelette,,,,1190,90,35,0.5,940,2930,20,1,6,72
Big Steak Omelette,,,,1040,69,24,0.5,915,1750,39,5,6,66
Chicken Fajita Omelette,,,,900,58,23,0.5,980,2040,21,3,5,74
Colorado Omelette,,,,1270,100,36,0.5,970,2630,18,1,5,74
Pesto Veggie Egg White Omelette (Includes Side of Fresh Fruit),,,,480,34,6,0,10,640,26,7,16,21
Spicy Pobla (No Omelette),,,,1000,78,32,1,940,1950,24,5,4,55
Spinach & Mushroom Omelette,,,,900,72,27,1,885,2050,20,3,5,46
Egg White Omelette (Build Your Own Omelette),,,,90,2.5,0,0,0,250,1,0,0,15
Omelette (Build Your Own Omelette),,,,400,28,8,0,805,440,8,0,1,28
American Cheese (Build Your Own Omelette),,,,100,8,5,0,25,480,2,0,1,5
"Four-Cheese Blend, Shredded (Build Your Own Omelette)",,,,230,18,11,1,50,350,2,1,0,14
"Jack & Cheddar Blend, Shredded (Build Your Own Omelette)",,,,220,17,10,0,55,340,2,0,0,13
Shredded Cheddar Cheese (Build Your Own Omelette),,,,230,18,10,0,55,360,2,0,0,13
Basil Pesto (Build Your Own Omelette),,,,90,9,1.5,0,10,190,1,0,0,2
