Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
1% Milk (Regular),,,,110,2.5,1.5,0,15,115,13,0,13,9
Chocolate Milk (Large),,,,330,4,2.5,0,20,230,59,1,57,14
Chocolate Milk (Regular),,,,200,2.5,1.5,0,10,140,36,1,35,8
Blue Raspberry Lemonade Splasher,,,473,190,0,0,0,0,45,46,0,45,0
Blue Raspberry Lemonade Splasher,,,887,240,0,0,0,0,55,59,0,58,1
Mango Lemonade Splasher,,,473,200,0,0,0,0,45,49,0,48,0
Mango Lemonade Splasher,,,887,250,0,0,0,0,60,63,0,61,0
Strawberry Lemonade Splasher,,,473,190,0,0,0,0,45,48,0,47,0
Strawberry Lemonade Splasher,,,887,240,0,0,0,0,55,62,0,60,0
Watermelon Splasher,,,473,190,0,0,0,0,40,49,0,48,0
Watermelon Splasher,,,887,240,0,0,0,0,50,63,0,61,0
Barq's Root Beer (Large),,,,130,0,0,0,0,60,38,0,38,0
Brisk Raspberry Iced Tea (Large),,,,60,0,0,0,0,65,16,0,16,0
Cherry Coke (Large),,,,130,0,0,0,0,30,35,0,35,0
Coca Cola (Large),,,,120,0,0,0,0,40,33,0,33,0
Coke Zero (Large),,,,0,0,0,0,0,35,0,0,0,0
Diet Coke (Large),,,,0,0,0,0,0,35,0,0,0,0
Diet Pepsi (Large),,,,0,0,0,0,0,30,0,0,0,0
Dr. Pepper (Large),,,,130,0,0,0,0,50,33,0,32,0
"Fruit Punch, Hi-C (Large)",,,,140,0,0,0,0,65,36,0,34,0
"Fruit Punch, Tropicana (Large)",,,,140,0,0,0,0,30,38,0,38,0
Manzanita Sol (Large),,,,130,0,0,0,0,30,35,0,35,0
Mountain Dew (Large),,,,140,0,0,0,0,50,38,0,38,0
Mug Root Beer (Large),,,,130,0,0,0,0,55,36,0,36,0
Orange Fanta (Large),,,,130,0,0,0,0,45,37,0,37,0
Orange Twister (Large),,,,160,0,0,0,0,30,43,0,43,0
Pepsi (Large),,,,130,0,0,0,0,25,34,0,34,0
Pibb Extra (Large),,,,120,0,0,0,0,35,33,0,33,0
Sobe Yumberry Pomegranate Life Water (Large),,,,0,0,0,0,0,40,0,0,0,0
Sprite (Large),,,,120,0,0,0,0,55,32,0,32,0
Starry Lemon Lime (Large),,,,130,0,0,0,0,30,33,0,33,0
Wild Cherry Pepsi (Large),,,,130,0,0,0,0,25,35,0,35,0
Barq's Root Beer (X-Large),,,,240,0,0,0,0,105,68,0,68,0
Brisk Raspberry Iced Tea (X-Large),,,,110,0,0,0,0,120,29,0,29,0
Cherry Coke (X-Large),,,,230,0,0,0,0,55,63,0,63,0
Coca Cola (X-Large),,,,210,0,0,0,0,70,59,0,59,0
Coke Zero (X-Large),,,,0,0,0,0,0,60,0,0,0,0
Diet Coke (X-Large),,,,0,0,0,0,0,60,0,0,0,0
Diet Pepsi (X-Large),,,,0,0,0,0,0,55,0,0,0,0
Dr. Pepper (X-Large),,,,230,0,0,0,0,90,59,0,58,0
"Fruit Punch, Hi-C (X-Large)",,,,250,0,0,0,0,115,64,0,62,0
"Fruit Punch, Tropicana (X-Large)",,,,250,0,0,0,0,55,68,0,68,0
Manzanita Sol (X-Large),,,,240,0,0,0,0,55,63,0,63,0
Mountain Dew (X-Large),,,,260,0,0,0,0,90,69,0,69,0
Mug Root Beer (X-Large),,,,240,0,0,0,0,100,65,0,65,0
Orange Fanta (X-Large),,,,240,0,0,0,0,85,66,0,66,0
Orange Twister (X-Large),,,,290,0,0,0,0,55,78,0,78,0
Pepsi (X-Large),,,,230,0,0,0,0,45,62,0,62,0
Pibb Extra (X-Large),,,,210,0,0,0,0,60,59,0,59,0
Sobe Yumberry Pomegranate Life Water (X-Large),,,,0,0,0,0,0,70,0,0,0,0
Sprite (X-Large),,,,210,0,0,0,0,100,57,0,57,0
Starry Lemon Lime (X-Large),,,,230,0,0,0,0,55,59,0,59,0
Wild Cherry Pepsi (X-Large),,,,240,0,0,0,0,45,63,0,63,0
Chocolate Milkshake,,,,670,31,20,0.5,115,230,90,1,79,12
Cinn-A-Stack Milkshake,,,,710,39,24,0.5,115,350,83,2,70,11
Cupcake Milkshake,,,,710,34,23,0.5,115,180,91,0,75,11
OREO Cookie Milkshake,,,,750,39,22,0.5,115,330,90,1,66,13
Strawberry Milkshake,,,,580,30,20,0.5,115,190,69,1,58,11
Vanilla Milkshake,,,,590,30,20,0.5,115,180,71,0,61,11
Blueberry Syrup,,,,110,0,0,0,0,5,27,0,19,0
Butter Pecan Syrup,,,,110,0,0,0,0,10,27,0,14,0
Strawberry Syrup,,,,100,0,0,0,0,5,26,0,19,0
Apple Juice (Catering),,,3785,1630,2.5,0,0,0,240,404,0,368,2
Box of Coffee (Catering),,,2839,260,12,7,0,35,120,30,0,29,6
Coca Cola (Catering),,,3785,1490,0,0,0,0,480,416,0,416,0
Diet Coke (Catering),,,3785,0,0,0,0,0,430,0,0,0,0
Diet Pepsi (Catering),,,3785,0,0,0,0,0,380,0,0,0,0
Dr. Pepper (Catering),,,3785,1600,0,0,0,0,640,422,0,410,0
Iced Tea (Catering),,,3785,40,0,0,0,0,115,11,0,0,0
Minute Maid / Tropicana Lemonade (Catering),,,3785,1780,0,0,0,0,810,458,0,442,0
Mountain Dew (Catering),,,3785,1810,0,0,0,0,640,491,0,491,0
Orange Juice (Catering),,,3785,1760,1,0,0,0,170,438,6,430,20
Pepsi (Catering),,,3785,1600,0,0,0,0,320,437,0,437,0
Sprite (Catering),,,3785,1490,0,0,0,0,700,405,0,405,0
Starry Lemon Lime (Catering),,,3785,1600,0,0,0,0,380,416,0,416,0
Black Angus Steakburger (Catering),1 burger,,,650,42,13,1.5,75,1230,38,2,5,29
Bacon (Catering),2 slices,,,100,8,3,0,10,320,1,0,0,6
BBQ Sauce (Catering),,,29,50,0,0,0,0,370,12,1,8,0
IHOP Sauce (Catering),,,29,110,10,1.5,0,5,230,3,0,3,0
Ketchup (Catering),1 packet,,,10,0,0,0,0,90,2,0,2,0
Mayo (Catering),1 packet,,,90,9,1.5,0,5,65,0,0,0,0
Mustard (Catering),1 packet,,,5,0,0,0,0,65,0,0,0,0
Pickles (Catering),5 pieces,,,5,0,0,0,0,280,1,0,0,0
Red Onion (Catering),2 pieces,,,5,0,0,0,0,0,1,0,1,0
Tomato (Catering),2 pieces,,,5,0,0,0,0,0,2,0,1,0
American Cheese (Catering),1 slice,,,50,4,2.5,0,15,240,1,0,0,2
Buttermilk Crispy Chicken Sandwich (Catering),1 sandwich,,,610,31,6,0,40,1170,55,2,4,27
Buttermilk Crispy Chicken Strips (Catering),40 pieces,,,7530,464,80,5,925,20240,489,0,118,347
Cinnamon Dippers (Catering),70 pieces,,,7340,385,117,2.5,175,4520,859,0,599,108
Classic Egg Burritos With Bacon (Catering),10 burritos,,,12070,772,264,4.5,4930,24460,780,38,58,478
Classic Egg Burritos With Sausage (Catering),10 burritos,,,12610,855,293,4.5,5095,22790,779,40,54,433
Grilled Chicken Sandwich (Catering),1 sandwich,,,490,21,4,0,105,1610,38,2,5,39
Bacon Slices (Catering),80 slices,,,4030,330,116,1,440,12700,21,0,20,244
Buttermilk Pancakes (Catering),80 pancakes,,,17540,582,259,13,2455,43440,2752,82,1006,341
Ham Triangles (Catering),80 triangles,,,2470,50,17,0,1135,26940,93,0,53,404
Pork Sausage Links (Catering),80 sausages,,,8500,846,296,1.5,1350,13170,26,0,13,199
"Breakfast Potatoes (Large combo, Catering)",,,,11410,515,91,0,0,59610,1498,189,41,198
"Scrambled Eggs(Large combo, Catering)",,,,11980,1015,258,14,18210,11810,34,0,18,615
Bacon Slices (Catering),40 slices,,,2020,165,58,0.5,220,6350,11,0,10,122
Buttermilk Pancakes (Catering),40 pancakes,,,8770,291,130,7,1225,21720,1376,41,503,170
Ham Triangles (Catering),40 triangles,,,1230,25,9,0,565,13470,46,0,27,202
Pork Sausage Links (Catering),40 sausages,,,4250,423,148,1,675,6590,13,0,7,99
"Breakfast Potatoes (Medium combo, Catering)",,,,5700,257,46,0,0,29810,749,95,20,99
"Scrambled Eggs (Medium combo, Catering)",,,,5990,508,129,7,9105,5900,17,0,9,307
Original Buttermilk Pancakes (Catering),20 pancakes,,,4380,145,65,3.5,615,10860,688,21,251,85
"Balsamic Vinaigrette Dressing (Side, Catering)",,,,860,79,12,1,30,1450,34,1,33,1
"Crispy Breakfast Potatoes (Side, Catering)",,,,2850,129,23,0,0,14900,375,47,10,49
"French Fries (Side, Catering)",,,,2810,101,26,1.5,0,11220,431,0,16,43
"Fresh Fruit (Side, Catering)",,,,540,1.5,0,0,0,65,140,12,114,7
"Ham  (Side, Catering)",20 slices,,,620,13,4.5,0,285,6740,23,0,13,101
"Hickory Smoked Bacon (Side, Catering)",20 strips,,,1010,83,29,0,110,3180,5,0,5,61
"Honey Mustard (Side, Catering)",,,,910,71,11,1,65,1760,66,2,62,4
"House Salad (Side, Catering)",,,,710,47,28,3,125,990,34,0,15,44
"Onion Rings (Side, Catering)",,,,5690,313,57,0,0,11340,649,0,59,69
"Pork Sausage Links (Side, Catering)",20 sausages,,,2120,212,74,0,335,3290,7,1,3,50
"Ranch Dressing (Side, Catering)",,,,840,88,14,1.5,70,1410,8,1,5,5
"Scrambled Eggs (Side, Catering)",,,,3010,253,65,2.5,4550,3110,9,0,4,154
Bacon Slices (Catering),20 slices,,,1010,83,29,0,110,3180,5,0,5,61
Buttermilk Pancakes (Catering),20 pancakes,,,4380,145,65,3.5,615,10860,688,21,251,85
Pork Sausage Links (Catering),20 sausages,,,2120,212,74,0,335,3290,7,1,3,50
"Breakfast Potatoes (Small combo, Catering)",,,,2850,129,23,0,0,14900,375,47,10,49
"Scrambled Eggs (Small combo, Catering)",,,,3010,253,65,2.5,4550,3110,9,0,4,154
Ham Triangles (Catering),20 triangles,,,620,13,4.5,0,285,6740,23,0,13,101
Thick 'N Fluffy French Toast (Catering),10 slices,,,4490,209,88,3.5,1615,6180,542,27,138,114
"Thick 'N Fluffy French Toast, Add Blueberry Topping (Catering)",,,,1090,2,0,0,0,15,277,15,227,4
"Thick 'N Fluffy French Toast, Add Strawberries in Glaze (Catering)",,,,970,1,0,0,0,180,252,0,198,4
Ultimate Chocolate Cake (Catering),14 slices,,,10190,620,348,14,1475,2130,1125,0,807,89
