Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Kids Organic Apple Juice,,,237.0,110,0.0,0.0,0.0,0,10,28,0.0,27,0
Kids Organic Chocolate Milk,,,237.0,150,2.5,1.5,0.0,15,180,23,0.0,22,8
Kids Organic White Milk,,,237.0,110,2.5,1.5,0.0,10,130,13,0.0,12,8
Lime Bubly Sparkling Water (20 fl oz),,,591.0,0,0.0,0.0,0.0,0,105,0,0.0,0,0
Lime Bubly Sparkling Water (30 fl oz),,,887.0,5,0.0,0.0,0.0,0,160,0,0.0,0,0
Lipton Brisk Raspberry Tea (20 fl oz),,,591.0,120,0.0,0.0,0.0,0,80,30,0.0,30,0
Lipton Brisk Raspberry Tea (30 fl oz),,,887.0,170,0.0,0.0,0.0,0,120,45,0.0,45,0
"Madagascar Vanilla Almond Cold Brew Coffee (16 fl oz)",,,473.0,90,1.5,0.0,0.0,0,45,18,0.0,17,1
Madagascar Vanilla Almond Cold Brew Coffee (20 fl oz),,,591.0,120,1.5,0.0,0.0,0,60,24,0.0,22,1
Madagascar Vanilla Cream Cold Brew Coffee (16 fl oz),,,473.0,190,11.0,7.0,0.0,35,50,22,0.0,17,3
Madagascar Vanilla Cream Cold Brew Coffee (20 fl oz),,,591.0,260,14.0,9.0,0.0,45,60,29,0.0,22,4
Madagascar Vanilla Latte (16 fl oz),,,473.0,260,9.0,6.0,0.0,35,115,33,0.0,31,10
Madagascar Vanilla Latte (20 fl oz),,,591.0,310,10.0,7.0,0.0,40,140,41,0.0,40,12
Mango Ceylon Tea (16 fl oz),,,473.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0
"Mango Yuzu Citrus Flavored Charged Lemonade (20 fl oz)",,,591.0,350,0.0,0.0,0.0,0,10,86,0.0,82,0
"Mango Yuzu Citrus Flavored Charged Lemonade (30 fl oz)",,,887.0,530,0.5,0.0,0.0,0,15,130,0.0,124,1
"Mango Yuzu Citrus Flavored Charged Lemonade (Group, Serves 5)",1 container,,,1100,1.5,0.0,0.0,0,35,270,1.0,258,1
Minute Maid Orange Juice (12 fl oz Bottle),,,355.0,220,0.0,0.0,0.0,0,30,51,0.0,45,0
Mountain Dew (12 fl oz can),,,355.0,170,0.0,0.0,0.0,0,60,46,0.0,46,0
Mountain Dew (20 fl oz),,,591.0,280,0.0,0.0,0.0,0,85,73,0.0,73,0
Mountain Dew (20 fl oz Bottle),,,591.0,290,0.0,0.0,0.0,0,105,77,0.0,77,0
Mountain Dew (30 fl oz),,,887.0,420,0.0,0.0,0.0,0,130,110,0.0,110,0
Mug Root Beer (20 fl oz),,,591.0,240,0.0,0.0,0.0,0,95,64,0.0,63,0
Mug Root Beer (30 fl oz),,,887.0,360,0.0,0.0,0.0,0,140,96,0.0,95,0
Orange Ginger Mint Tea (16 fl oz),,,473.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0
Passion Papaya Flavored Iced Green Tea (20 fl oz),,,591.0,140,0.0,0.0,0.0,0,20,35,0.0,35,0
Passion Papaya Flavored Iced Green Tea (30 fl oz),,,887.0,210,0.0,0.0,0.0,0,30,52,0.0,52,0
"Passion Papaya Flavored Iced Green Tea (Group, Serves 5)",1 container,,,450,0.0,0.0,0.0,0,65,111,0.0,111,0
Pepsi (20 fl oz),,,591.0,250,0.0,0.0,0.0,0,50,69,0.0,69,0
Pepsi (20 fl oz Bottle),,,591.0,250,0.0,0.0,0.0,0,55,69,0.0,69,0
Pepsi (30 fl oz),,,887.0,380,0.0,0.0,0.0,0,80,103,0.0,103,0
Pepsi 12 fl oz can,,,355.0,150,0.0,0.0,0.0,0,30,41,0.0,41,0
Pibb Xtra (20 fl oz),,,591.0,240,0.0,0.0,0.0,0,90,61,0.0,61,0
Pibb Xtra (30 fl oz),,,887.0,370,0.0,0.0,0.0,0,135,92,0.0,92,0
Powerade Mountain Blast (20 fl oz),,,591.0,140,0.0,0.0,0.0,0,190,37,0.0,36,0
Powerade Mountain Blast (30 fl oz),,,887.0,210,0.0,0.0,0.0,0,280,55,0.0,55,0
Premium Oj 11.5 fl oz,1 bottle,,,160,0.0,0.0,0.0,0,5,37,0.0,32,2
Signature Hot Chocolate (16 fl oz),,,473.0,430,11.0,7.0,0.0,35,230,73,3.0,53,12
Signature Hot Chocolate (20 fl oz),,,591.0,550,12.0,8.0,0.0,45,300,96,4.0,69,15
Sobe Life Water Yumberry Pomegranate (20 fl oz),,,591.0,0,0.0,0.0,0.0,0,80,0,0.0,0,0
Sobe Life Water Yumberry Pomegranate (30 fl oz),,,887.0,5,0.0,0.0,0.0,0,120,1,0.0,0,0
Sprite (20 fl oz),,,591.0,230,0.0,0.0,0.0,0,115,61,0.0,61,0
Sprite (30 fl oz),,,887.0,340,0.0,0.0,0.0,0,170,91,0.0,91,0
Sprite 20 fl oz Bottle,,,591.0,230,0.0,0.0,0.0,0,110,64,0.0,64,0
Sprite Zero (20 fl oz Bottle),,,591.0,0,0.0,0.0,0.0,0,60,1,0.0,0,0
Starry Lemon Lime (20 fl oz),,,591.0,240,0.0,0.0,0.0,0,55,65,0.0,65,0
Starry Lemon Lime (30 fl oz),,,887.0,370,0.0,0.0,0.0,0,85,97,0.0,97,0
Starry Lemon Lime 12 fl oz can,,,355.0,150,0.0,0.0,0.0,0,35,39,0.0,39,0
Starry Lemon Lime 20 fl oz Bottle,,,591.0,240,0.0,0.0,0.0,0,55,65,0.0,65,0
Strawberry Lemon Mint Flavored Charged Lemonade (20 fl oz),,,591.0,280,0.0,0.0,0.0,0,10,70,0.0,65,0
Strawberry Lemon Mint Flavored Charged Lemonade (30 fl oz),,,887.0,430,0.5,0.0,0.0,0,15,105,0.0,98,1
"Strawberry Lemon Mint Flavored Charged Lemonade (Group, Serves 5)",1 container,,,900,1.0,0.0,0.0,0,35,221,0.0,206,1
Substitute Almond Milk (8 fl oz),,,237.0,40,3.5,0.0,0.0,0,100,2,1.0,0,1
Substitute Skim Milk (4 fl oz),,,118.0,40,0.0,0.0,0.0,0,50,6,0.0,6,4
Substitute Skim Milk (8 fl oz),,,237.0,80,0.0,0.0,0.0,5,105,12,0.0,12,8
Sweet Iced Tea 20 fl oz,,,591.0,110,0.0,0.0,0.0,0,10,27,0.0,27,1
Sweet Iced Tea 30 fl oz,,,887.0,150,0.0,0.0,0.0,0,10,36,0.0,36,2
Tropicana Fruit Punch (20 fl oz),,,591.0,280,0.0,0.0,0.0,0,55,75,0.0,75,0
Tropicana Fruit Punch (30 fl oz),,,887.0,420,0.0,0.0,0.0,0,85,113,0.0,112,0
Tropicana Lemonade (20 fl oz),,,591.0,250,0.0,0.0,0.0,0,260,67,0.0,66,0
Tropicana Lemonade (30 fl oz),,,887.0,380,0.0,0.0,0.0,0,390,100,0.0,99,0
Tropicana Light Lemonade (20 fl oz),,,591.0,10,0.0,0.0,0.0,0,230,0,0.0,0,0
Tropicana Light Lemonade (30 fl oz),,,887.0,15,0.0,0.0,0.0,0,350,0,0.0,0,0
Unsweetened Iced Tea (20 fl oz),,,591.0,10,0.0,0.0,0.0,0,10,0,0.0,0,2
Unsweetened Iced Tea (30 fl oz),,,887.0,20,0.0,0.0,0.0,0,20,0,0.0,0,4
Wild Cherry Pepsi 20 fl oz,,,591.0,260,0.0,0.0,0.0,0,55,70,0.0,70,0
Wild Cherry Pepsi 30 fl oz,,,887.0,390,0.0,0.0,0.0,0,80,106,0.0,105,0
Baja Bowl,1 bowl,,,600,31.0,6.0,0.0,20,1310,69,13.0,10,17
Baja Bowl with Chicken,1 bowl,,,660,31.0,7.0,0.0,55,1470,70,13.0,10,28
Broccoli Cheddar Mac & Cheese (Bread Bowl),1 bread bowl with broccoli cheddar mac,,,1040,28.0,12.0,0.5,40,2120,157,7.0,7,39
Broccoli Cheddar Mac & Cheese (Large),1 bowl,,,740,48.0,23.0,1.0,85,1930,53,5.0,10,25
Broccoli Cheddar Mac & Cheese (Small),1 cup,,,370,24.0,11.0,0.5,40,960,26,3.0,5,12
Broccoli Cheddar Mac & Cheese (Group),1 container,,,1480,95.0,45.0,2.0,170,3850,106,10.0,20,50
Cheese Flatbread Pizza,1 flatbread pizza,,,920,41.0,19.0,1.0,100,2100,95,3.0,8,40
Teriyaki Chicken & Broccoli Bowl,1 bowl,,,600,16.0,3.5,0.0,150,1630,70,5.0,27,46
Chipotle Chicken & Bacon Flatbread Pizza,1 flatbread pizza,,,1030,51.0,19.0,1.0,125,2390,96,3.0,9,43
Mac & Cheese (Bread Bowl),1 bread bowl with mac & cheese,,,1150,36.0,18.0,1.0,85,2310,164,4.0,9,43
Mac & Cheese (Group),1 container,,,1930,128.0,70.0,4.0,335,4590,134,0.0,29,65
Mac & Cheese (Large),2 cups,,,960,64.0,35.0,2.0,165,2300,67,0.0,15,32
Mac & Cheese (Small),1 cup,,,480,32.0,17.0,1.0,85,1150,34,0.0,7,16
Margherita Flatbread Pizza,1 flatbread pizza,,,890,38.0,19.0,0.5,80,1830,97,3.0,9,35
Mediterranean Bowl,1 bowl,,,500,26.0,6.0,0.0,20,1100,51,7.0,7,15
Mediterranean Bowl with Chicken,1 bowl,,,550,27.0,6.0,0.0,55,1270,52,7.0,7,26
Pepperoni Flatbread Pizza,1 flatbread pizza,,,1080,57.0,26.0,1.0,125,2580,95,3.0,8,43
Kids Deli Turkey on White Whole Grain,1 sandwich,,,290,9.0,4.5,0.0,45,910,30,3.0,3,21
Kids Grilled Cheese on White Whole Grain,1 sandwich,,,230,8.0,4.0,0.0,20,620,29,3.0,3,11
"Kids Stonyfield Organic Low Fat Mixed Berry Yogurt
Squeezers",1 tube,,,50,1.0,0.5,0.0,5,40,8,0.0,6,2
Kids Stonyfield Organic Low Fat Strawberry Yogurt Squeezers,1 tube,,,50,1.0,0.5,0.0,5,35,8,0.0,6,2
Pastry (Pastry Ring),0.083 pastry,,,210,9.0,5.0,0.0,35,170,29,1.0,14,3
Muffin (Blueberry),1 muffin,,,510,18.0,3.5,0.0,65,390,79,8.0,35,7
Scone (Blueberry),1 scone,,,460,19.0,12.0,0.5,25,900,65,2.0,26,8
Brownie,1 brownie,,,470,18.0,6.0,0.0,115,95,69,4.0,50,7
Cookie (Candy),1 cookie,,,480,22.0,13.0,0.5,80,310,68,1.0,37,4
Muffie (Chocolate Chip),1 muffie,,,340,13.0,4.5,0.0,35,200,51,3.0,22,5
Muffin (Chocolate Chip),1 muffin,,,670,26.0,9.0,0.0,65,390,101,6.0,44,9
Cookie (Chocolate Chipper),1 cookie,,,390,19.0,11.0,0.0,50,290,52,2.0,31,4
Pastry (Chocolate Croissant),1 croissant,,,400,23.0,14.0,0.5,55,270,42,2.0,15,7
Muffin (Cranberry Orange),1 muffin,,,530,20.0,3.5,0.0,50,340,82,4.0,42,7
Dozen Chocolate Chipper Cookies,1 cookie,,,390,19.0,11.0,0.0,50,290,52,2.0,31,4
Dozen Mixed Cookies,1 container,,,4850,216.0,130.0,6.0,685,3200,684,20.0,397,46
Pastry (Bear Claw),1 pastry,,,500,23.0,10.0,0.5,60,350,65,3.0,30,10
Cookie (Tulip Shaped Shortbread),1 cookie,,,440,21.0,13.0,1.0,65,210,57,1.0,32,4
Cookie (Kitchen Sink),1 cookie,,,820,44.0,29.0,1.0,95,760,99,2.0,56,8
Cookie (Lemon Drop Flavored),1 cookie,,,440,20.0,13.0,0.5,75,260,60,1.0,34,5
Mini Bear Claw,1 pastry,,,160,8.0,3.5,0.0,20,115,20,1.0,8,3
Mini Scone (Blueberry),1 mini scone,,,150,6.0,4.0,0.0,10,300,21,1.0,9,3
Mini (Brownie),1 mini brownie,,,120,4.5,1.5,0.0,30,25,17,1.0,12,2
Mini Cookie (Candy),1 mini cookie,,,130,6.0,3.5,0.0,20,75,18,0.0,10,1
Mini Cinnamon Roll,1 mini roll,,,310,9.0,4.0,0.0,35,240,53,1.0,35,4
Mini Muffin (Cranberry Orange),1 mini muffin,,,80,3.0,0.5,0.0,10,55,13,1.0,7,1
Mini Cookie (Lemon Drop Flavored),1 mini cookie,,,110,5.0,3.5,0.0,20,65,15,0.0,9,1
Mini Cookie (Oatmeal Raisin with Berries),1 cookie,,,90,3.0,2.0,0.0,15,45,14,1.0,8,1
Mini Scone (Orange),1 mini scone,,,180,7.0,4.5,0.0,10,270,27,1.0,13,3
Cookie (Oatmeal Raisin with Berries),1 cookie,,,350,13.0,7.0,0.0,55,170,55,2.0,33,4
Scone (Orange),1 scone,,,550,20.0,13.0,0.5,25,810,80,2.0,38,9
Pastry (Pecan Braid),1 pastry,,,450,25.0,9.0,0.0,40,160,52,3.0,25,6
Cookie (Petite Chocolate Chipper),1 cookie,,,100,4.5,3.0,0.0,10,75,13,0.0,8,1
Muffin (Pumpkin),1 muffin,,,570,24.0,4.5,0.0,30,430,78,5.0,40,8
Cookie (Pumpkin Shaped Shortbread),1 cookie,,,450,21.0,13.0,1.0,65,210,62,1.0,37,4
Pastry (Croissant),1 croissant,,,270,15.0,11.0,0.0,50,240,28,1.0,4,5
Pastry (Vanilla Flavored Cinnamon Roll),1 roll,,,620,18.0,8.0,0.0,75,490,106,1.0,71,9
Asian Sesame with Chicken (Half),0.5 salad,,,210,11.0,1.5,0.0,35,350,14,3.0,4,15
Asian Sesame with Chicken (Whole),1 salad,,,410,21.0,3.0,0.0,70,700,28,6.0,7,30
Caesar (Half),0.5 salad,,,170,13.0,3.0,0.0,25,320,9,2.0,1,5
Caesar (Whole),1 salad,,,330,25.0,6.0,0.5,45,640,18,4.0,3,10
Caesar with Chicken (Whole),1 salad,,,440,27.0,7.0,0.5,115,970,20,4.0,3,32
Caesar with Chicken (Half),0.5 salad,,,220,13.0,3.5,0.0,55,480,10,2.0,2,16
Citrus Asian Crunch Salad (Half),0.5 salad,,,220,12.0,1.5,0.0,0,430,22,4.0,13,5
Citrus Asian Crunch Salad (Whole),1 salad,,,430,25.0,3.0,0.0,0,850,44,8.0,25,10
Citrus Asian Crunch Salad with Chicken (Half),0.5 salad,,,310,17.0,2.5,0.0,50,670,23,4.0,13,18
Citrus Asian Crunch Salad with Chicken (Whole),1 salad,,,620,33.0,5.0,0.0,105,1330,46,8.0,26,36
Fuji Apple with Chicken (Half),0.5 salad,,,280,17.0,3.5,0.0,40,370,19,3.0,11,15
Fuji Apple with Chicken (Whole),1 salad,,,560,34.0,7.0,0.0,85,750,37,6.0,22,30
Fuji Apple with Chicken without Pecans (Half),0.5 salad,,,230,12.0,3.0,0.0,40,370,18,2.0,11,14
Fuji Apple with Chicken without Pecans (Whole),1 salad,,,460,23.0,6.0,0.0,85,750,35,5.0,21,29
Greek (Half),0.5 salad,,,200,18.0,4.5,0.0,15,540,8,2.0,3,4
Greek (Whole),1 salad,,,400,35.0,9.0,0.5,30,1080,16,5.0,7,8
Green Goddess Cobb with Chicken (Half),0.5 salad,,,250,14.0,3.0,0.0,135,470,13,4.0,7,19
Green Goddess Cobb with Chicken (Whole),1 salad,,,500,28.0,6.0,0.0,270,940,26,8.0,13,39
Southwest Caesar Salad (Half),0.5 salad,,,260,23.0,4.5,0.0,25,330,10,4.0,2,5
Southwest Caesar Salad (Whole),1 salad,,,520,46.0,9.0,1.0,55,650,20,8.0,4,10
Southwest Caesar Salad with Chicken (Whole),1 salad,,,630,48.0,10.0,1.0,120,980,22,8.0,4,32
Southwest Caesar with Chicken Salad (Half),0.5 salad,,,310,24.0,5.0,0.0,60,490,11,4.0,2,16
Strawberry Poppyseed (Half),0.5 salad,,,120,6.0,0.5,0.0,0,70,17,4.0,12,2
Strawberry Poppyseed (Whole),1 salad,,,240,12.0,1.0,0.0,0,140,34,8.0,25,5
Strawberry Poppyseed without Pecans (Half),0.5 salad,,,70,0.5,0.0,0.0,0,70,16,3.0,12,2
Strawberry Poppyseed without Pecans (Whole),1 salad,,,140,1.0,0.0,0.0,0,140,33,7.0,24,3
Strawberry Poppyseed with Chicken (Half),0.5 salad,,,180,7.0,1.0,0.0,35,240,18,4.0,13,13
Strawberry Poppyseed with Chicken (Whole),1 salad,,,350,13.0,1.5,0.0,70,470,36,8.0,25,27
Strawberry Poppyseed with Chicken without Pecans (Half),0.5 salad,,,130,1.5,0.0,0.0,35,240,17,3.0,12,13
Strawberry Poppyseed with Chicken without Pecans (Whole),1 salad,,,250,2.5,0.5,0.0,70,470,35,7.0,25,25
Avocado Sandwich (Whole),1 sandwich,,,210,5.0,0.5,0.0,0,330,37,4.0,2,7
Avocado Sandwich (Half),0.5 sandwich,,,210,5.0,0.5,0.0,0,330,37,4.0,2,7
Bacon Turkey Bravo on Tomato Basil (Half),0.5 sandwich,,,500,21.0,10.0,0.0,70,1270,52,2.0,6,27
Bacon Turkey Bravo on Tomato Basil (Whole),1 sandwich,,,1000,41.0,19.0,0.0,135,2550,104,4.0,11,54
"Chipotle Chicken Avocado Melt on Black Pepper
Focaccia Round (Half)",0.5 sandwich,,,470,25.0,10.0,0.0,65,1000,40,4.0,2,23
"Chipotle Chicken Avocado Melt on Black Pepper
Focaccia (Whole)",1 sandwich,,,940,49.0,19.0,0.0,130,2010,80,7.0,5,46
Classic Grilled Cheese on Classic White Miche (Half),0.5 sandwich,,,440,26.0,15.0,1.0,75,1190,34,1.0,5,19
Classic Grilled Cheese on Classic White Miche (Whole),1 sandwich,,,880,51.0,29.0,1.5,150,2370,68,2.0,9,37
Deli Turkey on Country Rustic Sourdough (Whole),1 sandwich,,,600,19.0,3.0,0.0,55,1510,73,5.0,5,35
Deli Turkey on Country Rustic Sourdough (Half),0.5 sandwich,,,300,10.0,1.5,0.0,30,750,36,2.0,3,17
Green Goddess Caprese Melt on Baguette,1 sandwich,,,1000,43.0,15.0,0.0,70,1900,117,5.0,7,36
Mediterranean Veggie on Tomato Basil (Half),0.5 sandwich,,,320,7.0,2.0,0.0,10,830,53,4.0,6,12
Mediterranean Veggie on Tomato Basil (Whole),1 sandwich,,,640,14.0,4.0,0.0,15,1660,106,7.0,11,23
"Napa Almond Chicken Salad on Country Rustic
Sourdough (Half)",0.5 sandwich,,,320,13.0,2.0,0.0,30,490,39,2.0,6,14
"Napa Almond Chicken Salad on Country Rustic
Sourdough (Whole)",1 sandwich,,,640,25.0,4.0,0.0,60,970,78,5.0,12,27
Pepperoni Mozzarella Melt on Baguette,1 sandwich,,,1020,41.0,22.0,1.0,110,2610,115,4.0,5,48
"Roasted Turkey & Avocado Blt on Country Rustic
Sourdough (Half)",0.5 sandwich,,,470,27.0,5.0,0.0,50,880,37,4.0,3,22
"Roasted Turkey & Avocado Blt on Country Rustic
Sourdough (Whole)",1 sandwich,,,940,53.0,10.0,0.5,100,1770,73,8.0,5,44
"Toasted Smokehouse Bbq Chicken on Classic White
Miche (Half)",0.5 sandwich,,,380,14.0,7.0,0.0,65,820,41,2.0,9,22
"Toasted Smokehouse Bbq Chicken on Classic White
Miche (Whole)",1 sandwich,,,760,29.0,14.0,0.5,135,1640,81,3.0,18,45
Smoky Buffalo Chicken Melt on Baguette,1 sandwich,,,830,19.0,9.0,0.0,105,3010,115,4.0,4,50
"The Chef's Chicken Sandwich (The Signature Take on Brioche)",1 sandwich,,,570,29.0,10.0,0.0,180,920,41,2.0,5,36
"The Chef's Chicken Sandwich (The Spicy Take on Brioche)",1 sandwich,,,580,30.0,8.0,0.0,170,1190,46,2.0,6,33
Toasted Frontega Chicken on Black Pepper Focaccia (Half),0.5 panini,,,420,19.0,6.0,0.0,55,950,39,2.0,3,22
Toasted Frontega Chicken on Black Pepper Focaccia (Whole),1 panini,,,830,38.0,13.0,0.0,115,1890,79,4.0,6,43
Toasted Steak & White Cheddar on Artisan Ciabatta (Half),0.5 panini,,,470,23.0,7.0,0.0,65,760,43,2.0,4,23
Toasted Steak & White Cheddar on Artisan Ciabatta (Whole),1 panini,,,940,45.0,15.0,1.0,125,1510,87,4.0,7,47
Tuna Salad on Black Pepper Focaccia (Half),0.5 sandwich,,,370,16.0,2.5,0.0,30,860,38,2.0,3,18
Tuna Salad on Black Pepper Focaccia (Whole),1 sandwich,,,740,32.0,5.0,0.0,65,1710,77,5.0,6,35
Side (Apple),1 apple,,,80,0.0,0.0,0.0,0,0,22,5.0,16,0
Banana,1 banana,,,90,0.0,0.0,0.0,0,0,23,3.0,12,1
Side Portion (French Baguette),3.33 inch slice,69.0,,180,0.5,0.0,0.0,0,450,36,1.0,1,7
Greek Yogurt with Mixed Berries,1 parfait,,,240,8.0,4.5,0.0,25,80,27,2.0,17,15
Kettle Cooked Potato Chips,1 package,,,150,9.0,1.0,0.0,0,75,17,1.0,<1,2
Side (Pickle Spear),1 spear,,,5,0.0,0.0,0.0,0,240,1,0.0,0,0
Summer Fruit Cup,1 container,,,60,0.0,0.0,0.0,0,10,15,2.0,9,1
Tomato Basil Cucumber Salad,1 serving,,,90,6.0,1.0,0.0,0,480,9,1.0,5,1
Green Passion Smoothie (16 fl oz),,,473.0,250,1.5,0.0,0.0,0,50,59,0.0,50,2
Mango Smoothie with Greek Yogurt (16 fl oz),,,473.0,300,5.0,3.0,0.0,20,65,51,0.0,42,13
"Peach & Blueberry Smoothie with Almond Milk (16 fl oz)",,,473.0,220,2.0,0.0,0.0,0,50,49,1.0,41,2
"Strawberry Banana Smoothie with Greek Yogurt (16 fl oz)",,,473.0,250,3.0,1.5,0.0,10,35,52,4.0,38,8
Strawberry Smoothie with Greek Yogurt (16 fl oz),,,473.0,270,5.0,2.5,0.0,20,65,44,2.0,39,13
Souffle (Four Cheese),1 souffle,,,470,30.0,16.0,1.0,185,830,36,1.0,8,14
Souffle (Spinach & Artichoke),1 souffle,,,530,35.0,19.0,1.0,180,930,37,3.0,8,18
Souffle (Spinach & Bacon),1 souffle,,,550,37.0,19.0,1.0,195,970,36,1.0,8,19
Bistro French Onion Soup (Group),1 container,,,560,24.0,12.0,0.5,50,3640,60,6.0,36,26
Bistro French Onion (Bowl),1 0.5 cups,,,290,11.0,5.0,0.0,20,1680,35,3.0,16,12
Bistro French Onion (Bread Bowl),1 bread bowl with soup,,,850,11.0,3.5,0.0,10,2240,151,6.0,12,34
Bistro French Onion (Cup),1 cup,,,180,7.0,3.0,0.0,10,1080,21,2.0,10,8
Broccoli Cheddar (Bowl),1 0.5 cups,,,370,24.0,17.0,0.0,50,1470,25,6.0,8,13
Broccoli Cheddar (Cup),1 cup,,,230,15.0,11.0,0.0,35,930,16,4.0,5,8
Broccoli Cheddar (Bread Bowl),1 bread bowl with soup,,,900,20.0,11.0,0.0,35,2090,146,8.0,7,35
Broccoli Cheddar Soup (Group),1 container,,,820,53.0,37.0,1.0,115,3250,56,14.0,17,28
Chicken Tikka Masala Soup (Bowl),1 0.5 cups,,,360,18.0,10.0,0.0,65,1000,37,5.0,8,16
Chicken Tikka Masala Soup (Bread Bowl),1 bread bowl with soup,,,900,16.0,7.0,0.0,45,1820,154,8.0,8,37
Chicken Tikka Masala Soup (Cup),1 cup,,,230,12.0,6.0,0.0,45,650,23,3.0,5,10
Chicken Tikka Masala Soup (Group),1 container,,,820,41.0,22.0,1.0,155,2300,84,11.0,19,37
Cream of Chicken & Wild Rice (Bowl),1 0.5 cups,,,260,16.0,7.0,0.5,35,1390,27,5.0,4,10
Cream of Chicken & Wild Rice (Bread Bowl),1 bread bowl with soup,,,840,15.0,5.0,0.0,25,2090,148,8.0,5,33
Cream of Chicken & Wild Rice (Cup),1 cup,,,180,10.0,4.5,0.0,25,920,18,4.0,3,6
Cream of Chicken and Wild Rice (Group),1 container,,,620,36.0,17.0,1.5,85,3240,62,13.0,9,23
Homestyle Chicken Noodle Soup (Bowl),1 bowl,,,100,1.0,0.0,0.0,25,1280,13,0.0,4,9
Homestyle Chicken Noodle Soup (Bread Bowl),1 bread bowl with soup,,,780,5.0,0.5,0.0,15,2100,148,5.0,5,35
Homestyle Chicken Noodle Soup (Cup),1 cup,,,60,0.5,0.0,0.0,15,860,8,0.0,3,6
Homestyle Chicken Noodle Soup (Group),1 container,,,230,2.0,0.5,0.0,55,3000,30,0.0,10,22
Mexican Style Street Corn Chowder (Bowl),1 bowl,,,310,19.0,10.0,0.0,45,1360,26,6.0,7,9
Mexican Style Street Corn Chowder (Bread Bowl),1 bread bowl with soup,,,860,16.0,7.0,0.0,30,2060,147,8.0,6,32
Mexican Style Street Corn Chowder (Cup),1 cup,,,190,12.0,7.0,0.0,30,900,16,4.0,4,6
Mexican Style Street Corn Chowder (Group),1 container,,,700,42.0,24.0,0.0,100,3150,59,13.0,15,20
Ten Vegetable Soup (Bowl),1 0.5 cups,,,100,2.0,0.0,0.0,0,1090,15,4.0,6,5
Ten Vegetable Soup (Bread Bowl),1 bread bowl with soup,,,730,6.0,0.5,0.0,0,1890,140,7.0,6,30
Ten Vegetable Soup (Cup),1 cup,,,60,1.0,0.0,0.0,0,730,10,3.0,4,3
Ten Vegetable Soup (Group),1 container,,,220,4.5,1.0,0.0,0,2550,36,9.0,13,11
Thai Chicken Soup (Bowl),1 0.5 cups,,,230,14.0,11.0,0.0,20,1080,16,4.0,5,11
Thai Chicken Soup (Group),1 container,,,540,32.0,26.0,0.0,50,2530,37,8.0,11,25
Thai Chicken Soup (Bread Bowl),1 bread bowl with soup,,,820,14.0,8.0,0.0,15,1880,141,7.0,5,34
Thai Chicken Soup (Cup),1 cup,,,160,9.0,8.0,0.0,15,720,11,2.0,3,7
Vegetarian Creamy Tomato Soup (Group),1 container,,,850,50.0,27.0,1.5,135,2660,86,2.0,39,14
Vegetarian Creamy Tomato (Bread Bowl),1 bread bowl with soup,,,910,19.0,8.0,0.0,40,1910,154,5.0,13,31
Vegetarian Creamy Tomato (Bowl),1 0.5 cups,,,350,21.0,11.0,0.5,60,1100,34,1.0,17,5
Vegetarian Creamy Tomato (Cup),1 cup,,,240,14.0,8.0,0.0,40,750,24,1.0,11,4
Plain Cream Cheese Spread (1.75 oz),1 container,,,180,17.0,11.0,0.0,50,135,4,0.0,2,2
Plain Cream Cheese Spread (8 oz),2 tbsp,,,110,10.0,7.0,0.0,30,85,3,0.0,1,1
Reduced Fat Chive & Onion Cream Cheese Spread (1.75 oz),1 container,,,130,10.0,7.0,0.0,35,190,2,0.0,2,6
"Reduced Fat Chive & Onion Cream Cheese Spread (8 oz)",2 tbsp,30.0,,80,6.0,4.0,0.0,20,115,1,0.0,1,3
Reduced Fat Honey Walnut Cream Cheese Spread (1.75 oz),1 container,,,140,10.0,6.0,0.0,30,170,8,0.0,8,3
"Reduced Fat Honey Walnut Cream Cheese Spread (8 oz)",2 tbsp,30.0,,80,6.0,3.5,0.0,20,105,5,0.0,5,2
"Agave Lemonade (Group, Serves 10)",2 containers,,,1260,1.5,0.0,0.0,0,75,310,0.0,286,2
"Unsweetened Iced Tea (Group, Serves 10)",2 containers,,,80,0.0,0.0,0.0,0,80,0,0.0,0,15
Catering Butter Pat,1 pat,,,35,4.0,2.5,0.0,10,35,0,0.0,0,0
"Catering Asian Sesame Chicken Salad (Serves 10)",2 containers,,,2180,115.0,15.0,2.0,350,3770,151,34.0,42,153
"Catering Asian Sesame Chicken Salad (Serves 5)",1 container,,,1090,57.0,8.0,1.0,175,1890,75,17.0,21,77
Catering Asian Sesame (Half),0.5 salad,,,150,10.0,1.0,0.0,0,190,13,3.0,3,4
"Catering Asian Sesame Salad (Serves 10)",2 containers,,,1610,106.0,12.0,2.0,0,2080,141,34.0,40,40
"Catering Asian Sesame Salad (Serves 5)",1 container,,,800,53.0,6.0,1.0,0,1040,70,17.0,20,20
Catering Asian Sesame Salad (Whole),1 salad,,,300,20.0,2.0,0.0,0,370,26,6.0,7,8
"Catering Caesar Salad (Serves 10)",2 containers,,,1870,145.0,35.0,3.5,260,3500,98,24.0,17,53
