Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Caesar Dressing (Whole),3 tbsp,,,170,18.0,3.0,0.0,30,290,2,0.0,1,1
Chipotle Sauce,1 portion,,,100,10.0,1.5,0.0,10,105,2,0.0,1,0
Garlic Aioli (Sandwich Portion),1 portion,,,110,12.0,2.0,0.0,15,65,0,0.0,0,0
Greek Dressing Dressing (Half),1 0.5 tbsp,,,110,12.0,1.5,0.0,0,150,0,0.0,0,0
Greek Dressing Dressing (Whole),3 tbsp,,,230,25.0,3.5,0.0,0,290,1,0.0,0,0
Green Goddess Dressing (Half),1 0.5 tbsp,,,40,3.5,0.0,0.0,0,80,2,0.0,1,1
Green Goddess Dressing (Whole),3 tbsp,,,80,7.0,1.0,0.0,5,160,4,0.0,3,2
Horseradish Sauce,1 portion,,,100,11.0,2.0,0.0,10,85,1,0.0,0,0
Hummus,1 portion,,,60,4.5,0.5,0.0,0,150,4,1.0,1,2
Lemon Tahini Dressing,1 portion,,,70,7.0,1.0,0.0,0,210,2,1.0,0,1
Mayonnaise,1 portion,,,130,14.0,2.0,0.0,10,115,0,0.0,0,0
Poppyseed Dressing (Half),1 0.5 tbsp,,,15,0.0,0.0,0.0,0,60,3,0.0,3,0
Poppyseed Dressing (Whole),3 tbsp,,,30,0.0,0.0,0.0,0,125,7,1.0,6,0
Salsa Verde,1 portion,,,90,10.0,1.0,0.0,0,170,1,0.0,0,0
Signature Sauce,1 portion,,,90,8.0,1.0,0.0,10,90,4,0.0,2,0
Spicy Brown Mustard,1 portion,,,10,0.0,0.0,0.0,0,80,1,0.0,0,0
Tangerine Soy Ginger Dressing (Half),1 ladle,,,80,7.0,1.0,0.0,0,250,4,0.0,4,0
Tangerine Soy Ginger Dressing (Whole),2 ladles,,,160,14.0,2.0,0.0,0,500,9,0.0,8,1
Teriyaki Sauce,1 portion,,,120,1.0,0.0,0.0,0,680,26,0.0,22,2
"White Balsamic Vinaigrette Flavored WithDressing Apple (Half)",1 0.5 tbsp,,,80,6.0,1.0,0.0,0,85,5,0.0,5,0
White Balsamic Vinaigrette Flavored with Apple Dressing (Whole),3 tbsp,,,160,13.0,2.0,0.0,0,170,11,0.0,10,0
Additional Shot of Bittersweet Chocolate Sauce,1 shot,,,50,0.0,0.0,0.0,0,25,13,1.0,8,1
Additional Shot of Caramel Syrup,1 shot,,,60,1.5,1.0,0.0,5,50,13,0.0,8,0
Additional Shot of Cinnamon Bark Flavored Syrup,1 shot,,,25,0.0,0.0,0.0,0,0,6,0.0,6,0
Additional Shot of Espresso,,,30.0,5,0.0,0.0,0.0,0,0,1,0.0,0,0
Additional Shot of Espresso Decaf,1 shot,,,5,0.0,0.0,0.0,0,0,1,0.0,0,0
Additional Shot of Madagascar Vanilla Syrup,1 shot,,,20,0.0,0.0,0.0,0,0,5,0.0,5,0
Agave Lemonade (20 fl oz),,,591.0,200,0.0,0.0,0.0,0,10,48,0.0,45,0
Agave Lemonade (30 fl oz),,,887.0,300,0.0,0.0,0.0,0,15,73,0.0,67,0
"Agave Lemonade (Group, Serves 5)",1 container,,,630,1.0,0.0,0.0,0,35,155,0.0,143,1
"Aha Blueberry Pomegranate Sparkling Water (12 fl oz can)",12 fl oz can,,,0,0.0,0.0,0.0,0,0,0,0.0,0,0
Aha Lime Watermelon Sparkling Water (12 fl oz can),12 fl oz can,,,0,0.0,0.0,0.0,0,0,0,0.0,0,0
Americano (16 fl oz),,,473.0,10,0.0,0.0,0.0,0,5,2,0.0,0,1
"Unsweetened Iced Tea (Group, Serves 5)",1 container,,,40,0.0,0.0,0.0,0,40,0,0.0,0,8
Blackberry Sage Tea (16 fl oz),,,473.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0
Bottled Passionfruit Papaya Flavored Iced Green Tea,,,500.0,130,0.0,0.0,0.0,0,0,31,,28,0
Bottled Water,,,500.0,0,0.0,0.0,0.0,0,10,0,0.0,0,0
British Breakfast Tea (16 fl oz),,,473.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0
Bubly Sparkling Water 12 fl oz can (Lemon),,,355.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0
Bubly Sparkling Water 12 fl oz (Lime),,,355.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0
Cafe Blend Dark Roast Coffee (16 fl oz),,,473.0,15,0.0,0.0,0.0,0,10,3,0.0,0,1
Cafe Blend Dark Roast Coffee (20 fl oz),,,591.0,15,0.0,0.0,0.0,0,15,3,0.0,0,1
Cafe Blend Dark Roast Coffee (Group),1 container,,,100,0.0,0.0,0.0,0,90,20,0.0,0,7
Cafe Blend Dark Roast Coffee (12 fl oz),,,355.0,10,0.0,0.0,0.0,0,10,2,0.0,0,1
Cafe Blend Light Roast Coffee (Group),1 container,,,140,0.0,0.0,0.0,0,90,25,0.0,0,7
Cafe Blend Light Roast Coffee (16 fl oz),,,473.0,20,0.0,0.0,0.0,0,10,3,0.0,0,1
Cafe Blend Light Roast Coffee (20 fl oz),,,591.0,25,0.0,0.0,0.0,0,15,4,0.0,0,1
